SPort, DPort, SPkts, DPkts, SBytes, DBytes, Protocol, SYN, ACK, FIN, PSH, RST, URG, SYN+ACK, Duration, IsAlive, Service, UniqueDests, UniqueSrcs, UniqueDestSocks, UniqueSrcSocks,target
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,1.446675062,1,0,1,1,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,1.446409464,1,0,1,1,1,1,1
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,3.47757864,1,0,1,1,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,3.477313042,1,0,1,1,1,1,1
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,5.509903431,1,0,1,1,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,5.509637833,1,0,1,1,1,1,1
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,7.553318501,1,0,1,1,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,7.553052902,1,0,1,1,1,1,1
33934,443,2,0,173,0,6,0,2,0,1,0,0,2,1.644810677,1,0,2,1,1,1,1
443,33934,2,0,236,0,6,0,2,0,1,0,0,2,1.643744469,1,0,1,2,1,1,1
443,49718,2,0,138,0,6,0,2,0,1,0,0,2,9.589247465,1,0,1,2,1,1,1
49718,443,2,0,136,0,6,0,2,0,1,0,0,2,9.588981867,1,0,2,1,1,1,1
33934,443,2,0,173,0,6,0,2,0,1,0,0,2,3.680739641,1,0,2,1,1,1,1
443,33934,2,0,236,0,6,0,2,0,1,0,0,2,3.679673433,1,0,1,2,1,1,1
54621,53,1,0,95,0,17,0,0,0,0,0,0,0,1.63809371,1,0,3,1,1,1,1
53,54621,1,0,111,0,17,0,0,0,0,0,0,0,1.520325184,1,0,1,3,1,1,1
49046,443,10,0,2035,0,6,1,9,0,7,0,0,10,1.519846439,1,0,4,1,1,1,1
443,49046,11,0,1696,0,6,1,11,0,3,0,0,11,1.489117861,1,0,1,4,1,1,1
39618,53,2,0,150,0,17,0,0,0,0,0,0,0,0.89112401,1,0,4,1,1,2,1
53,39618,2,0,586,0,17,0,0,0,0,0,0,0,0.465855837,1,0,1,4,2,1,1
38130,443,8,0,1986,0,17,0,0,0,0,0,0,0,0.438336372,1,0,5,1,1,1,1
40170,443,5,0,807,0,6,1,4,0,1,0,0,5,0.438052893,1,0,5,1,1,2,1
40182,443,5,0,807,0,6,1,4,0,1,0,0,5,0.437807083,1,0,5,1,1,3,1
